date,combined_status,industrial_status,monetary_status,silver_price,silver_ma50,gold_price,gold_ma50,copper_price,copper_ma50,monetary_regime_gt,industrial_regime_gt,combined_correct,monetary_correct,industrial_correct
2025-09-09,OFF,ON,OFF,40.88,38.3,3643.3,3385.84,4.5,4.9,ALIGNED,DIVERGENT,False,False,False
2025-09-22,OFF,ON,OFF,43.8,39.27,3740.7,3447.16,4.57,4.78,ALIGNED,DIVERGENT,False,False,False
2025-10-13,ON,ON,OFF,50.13,41.84,4108.6,3607.91,5.1,4.61,ALIGNED,ALIGNED,True,False,True
2025-10-28,ON,ON,OFF,47.12,44.31,3966.2,3776.45,5.14,4.74,ALIGNED,ALIGNED,True,False,True
2025-11-07,ON,ON,OFF,48.02,45.82,3999.4,3874.6,4.94,4.83,ALIGNED,ALIGNED,True,False,True
2025-11-24,OFF,ON,OFF,50.29,47.93,4091.9,3983.43,4.96,4.94,ALIGNED,ALIGNED,False,False,True
2025-12-05,OFF,ON,OFF,58.42,50.03,4212.9,4061.35,5.38,5.03,ALIGNED,ALIGNED,False,False,True
2025-12-22,OFF,OFF,OFF,67.91,53.57,4444.6,4148.64,5.44,5.12,ALIGNED,ALIGNED,False,False,False
2026-01-05,OFF,ON,OFF,76.16,57.21,4436.9,4186.68,5.92,5.23,ALIGNED,ALIGNED,False,False,True
2026-01-26,OFF,OFF,OFF,115.08,68.74,5079.7,4369.61,5.98,5.46,ALIGNED,ALIGNED,False,False,False
2026-02-03,OFF,ON,OFF,83.04,73.98,4903.7,4474.69,6.06,5.57,ALIGNED,ALIGNED,False,False,True
2026-02-26,OFF,ON,OFF,87.0,81.89,5176.5,4744.28,5.95,5.78,ALIGNED,ALIGNED,False,False,True
2026-03-04,OFF,ON,OFF,82.63,83.69,5120.2,4813.36,5.86,5.82,DIVERGENT,DIVERGENT,True,False,True
2026-03-20,OFF,ON,OFF,69.36,85.54,4570.4,4951.81,5.34,5.83,ALIGNED,ALIGNED,True,True,False
2026-04-03,OFF,ON,OFF,72.74,82.74,4651.5,4937.27,5.56,5.77,ALIGNED,ALIGNED,True,True,False
2026-04-27,OFF,ON,OFF,75.0,78.47,4675.4,4862.88,6.02,5.78,ALIGNED,DIVERGENT,True,True,True
2026-05-06,OFF,ON,OFF,76.81,77.56,4681.9,4799.91,6.14,5.8,ALIGNED,DIVERGENT,True,True,True
2026-05-22,OFF,ON,OFF,75.89,76.14,4521.0,4668.86,6.34,5.92,ALIGNED,DIVERGENT,True,True,True
2026-06-08,OFF,ON,OFF,68.43,76.15,4335.9,4623.27,6.33,6.09,ALIGNED,DIVERGENT,True,True,True
2026-06-23,OFF,ON,OFF,62.02,74.76,4129.9,4533.46,6.14,6.24,ALIGNED,ALIGNED,True,True,False
2025-09-11,OFF,ON,OFF,41.7,38.5,3636.9,3397.76,4.59,4.88,ALIGNED,DIVERGENT,False,False,False
2025-09-25,ON,ON,ON,44.7,39.64,3736.9,3471.47,4.7,4.73,ALIGNED,DIVERGENT,True,True,False
2025-10-07,OFF,ON,OFF,47.18,40.96,3976.6,3551.63,5.05,4.61,ALIGNED,ALIGNED,False,False,True
2025-10-20,ON,OFF,ON,51.12,43.16,4336.4,3690.84,5.0,4.67,ALIGNED,ALIGNED,True,True,False
2025-11-10,ON,ON,OFF,50.18,46.02,4111.8,3887.37,5.09,4.84,ALIGNED,ALIGNED,True,False,True
2025-11-28,OFF,OFF,OFF,56.45,48.62,4218.3,4013.59,5.19,4.97,ALIGNED,ALIGNED,False,False,False
2025-12-09,OFF,ON,OFF,60.17,50.53,4206.7,4077.31,5.24,5.05,ALIGNED,ALIGNED,False,False,True
2025-12-29,OFF,OFF,OFF,69.86,55.24,4325.1,4170.91,5.49,5.17,ALIGNED,ALIGNED,False,False,False
2026-01-01,OFF,ON,OFF,70.13,56.17,4325.6,4174.3,5.63,5.2,ALIGNED,ALIGNED,False,False,True
2026-01-22,OFF,OFF,OFF,95.98,66.44,4908.8,4332.87,5.74,5.43,ALIGNED,ALIGNED,False,False,False
2026-02-04,OFF,ON,OFF,84.17,74.66,4920.4,4491.97,5.83,5.59,ALIGNED,ALIGNED,False,False,True
2026-02-23,OFF,ON,OFF,86.52,80.3,5204.7,4689.14,5.77,5.74,ALIGNED,ALIGNED,False,False,True
2026-03-10,OFF,ON,OFF,89.08,84.94,5229.7,4868.63,5.9,5.85,ALIGNED,ALIGNED,False,False,True
2026-03-30,OFF,ON,OFF,70.32,83.76,4526.0,4939.22,5.48,5.78,ALIGNED,ALIGNED,True,True,False
2026-04-08,OFF,ON,OFF,75.22,80.89,4749.5,4919.24,5.76,5.75,ALIGNED,DIVERGENT,True,True,True
2026-04-28,OFF,ON,OFF,73.21,78.37,4591.5,4854.27,5.91,5.78,ALIGNED,DIVERGENT,True,True,True
2026-05-07,OFF,ON,OFF,79.7,77.33,4699.8,4789.78,6.13,5.8,DIVERGENT,ALIGNED,False,True,True
2026-05-18,OFF,ON,OFF,77.07,76.93,4552.5,4718.98,6.27,5.88,DIVERGENT,ALIGNED,False,True,True
2026-06-09,OFF,ON,OFF,65.09,76.06,4260.0,4618.63,6.3,6.11,ALIGNED,DIVERGENT,True,True,True
2026-06-25,OFF,ON,OFF,58.35,73.99,4030.5,4502.53,6.07,6.24,ALIGNED,ALIGNED,True,True,False
