date,combined_status,industrial_status,monetary_status,silver_price,silver_ma50,gold_price,gold_ma50,copper_price,copper_ma50,monetary_regime_gt,industrial_regime_gt,combined_correct,monetary_correct,industrial_correct
2025-09-05,ON,ON,ON,41.07,38.09,3613.2,3371.58,4.48,4.93,ALIGNED,DIVERGENT,True,True,True
2025-09-16,OFF,ON,OFF,42.47,38.85,3688.9,3418.24,4.63,4.86,ALIGNED,DIVERGENT,False,False,True
2025-10-03,OFF,ON,OFF,47.6,40.58,3880.8,3525.99,5.06,4.63,ALIGNED,ALIGNED,False,False,True
2025-10-17,OFF,OFF,ON,49.86,42.91,4189.9,3672.89,4.93,4.66,ALIGNED,ALIGNED,False,True,False
2025-11-05,OFF,ON,OFF,47.86,45.47,3980.3,3851.75,4.96,4.81,ALIGNED,ALIGNED,False,False,True
2025-11-20,ON,ON,OFF,50.25,47.62,4056.5,3966.69,4.96,4.92,ALIGNED,ALIGNED,True,False,True
2025-12-08,OFF,ON,OFF,57.78,50.26,4187.2,4069.59,5.36,5.04,ALIGNED,ALIGNED,False,False,True
2025-12-16,OFF,ON,OFF,62.7,52.05,4304.5,4117.63,5.29,5.09,ALIGNED,ALIGNED,False,False,True
2026-01-02,OFF,OFF,OFF,70.56,56.63,4314.4,4178.83,5.64,5.21,ALIGNED,ALIGNED,False,False,False
2026-01-15,OFF,OFF,OFF,91.88,62.84,4616.3,4269.24,5.95,5.36,ALIGNED,ALIGNED,False,False,False
2026-02-02,OFF,OFF,OFF,76.78,73.33,4622.5,4458.17,5.8,5.55,ALIGNED,ALIGNED,False,False,False
2026-02-17,OFF,OFF,OFF,73.45,78.49,4882.9,4620.99,5.63,5.7,DIVERGENT,ALIGNED,True,True,True
2026-03-02,OFF,ON,OFF,88.28,83.0,5294.4,4782.55,5.89,5.8,ALIGNED,ALIGNED,False,False,True
2026-03-17,OFF,OFF,OFF,79.53,85.86,5001.0,4937.96,5.73,5.86,DIVERGENT,ALIGNED,True,True,True
2026-04-06,OFF,ON,OFF,72.66,82.27,4656.8,4932.23,5.58,5.76,ALIGNED,ALIGNED,True,True,False
2026-04-20,OFF,ON,OFF,79.95,78.81,4806.6,4892.23,6.04,5.76,DIVERGENT,ALIGNED,False,False,True
2026-05-04,OFF,ON,OFF,73.07,78.04,4519.5,4822.36,5.8,5.79,ALIGNED,DIVERGENT,True,True,False
2026-05-20,OFF,OFF,OFF,75.85,76.49,4531.3,4693.31,6.29,5.9,ALIGNED,DIVERGENT,True,True,True
2026-06-05,OFF,ON,OFF,68.94,76.13,4337.1,4624.06,6.26,6.07,ALIGNED,DIVERGENT,True,True,False
2026-06-15,OFF,ON,OFF,70.07,75.52,4328.0,4581.29,6.48,6.17,ALIGNED,DIVERGENT,True,True,False
