date,combined_status,industrial_status,monetary_status,silver_price,silver_ma50,gold_price,gold_ma50,copper_price,copper_ma50,monetary_regime_gt,industrial_regime_gt,combined_correct,monetary_correct,industrial_correct
2020-01-20,OFF,OFF,ON,18.01,17.28,1558.8,1492.6,2.85,2.74,ALIGNED,ALIGNED,False,True,False
2020-01-27,ON,OFF,ON,18.0,17.37,1576.8,1502.62,2.6,2.75,ALIGNED,DIVERGENT,True,True,True
2020-02-06,OFF,OFF,ON,17.79,17.48,1565.1,1518.85,2.6,2.74,ALIGNED,DIVERGENT,False,True,True
2020-02-17,OFF,OFF,ON,17.72,17.56,1582.7,1532.01,2.61,2.73,ALIGNED,DIVERGENT,False,True,True
2020-02-21,OFF,OFF,ON,18.52,17.69,1644.6,1544.0,2.62,2.72,ALIGNED,DIVERGENT,False,True,True
2020-03-03,OFF,OFF,ON,17.13,17.78,1642.1,1566.03,2.58,2.69,DIVERGENT,ALIGNED,True,True,True
2020-03-09,OFF,OFF,ON,17.0,17.77,1674.5,1580.39,2.52,2.67,DIVERGENT,ALIGNED,True,True,True
2020-03-18,OFF,OFF,OFF,11.73,17.28,1477.3,1584.32,2.16,2.61,ALIGNED,ALIGNED,True,True,True
2020-03-25,OFF,OFF,ON,14.84,16.81,1632.3,1585.03,2.23,2.55,DIVERGENT,ALIGNED,True,True,True
2020-04-01,ON,OFF,ON,13.93,16.45,1578.2,1591.01,2.19,2.49,ALIGNED,ALIGNED,False,False,True
2020-04-09,OFF,OFF,ON,15.99,16.13,1736.2,1602.93,2.28,2.44,DIVERGENT,ALIGNED,True,True,True
2020-04-21,OFF,OFF,ON,14.82,15.81,1678.2,1623.58,2.27,2.41,DIVERGENT,ALIGNED,True,True,True
2020-04-29,OFF,OFF,ON,15.16,15.52,1703.4,1640.5,2.37,2.38,DIVERGENT,ALIGNED,True,True,True
2020-05-06,ON,OFF,ON,14.99,15.16,1684.2,1646.22,2.35,2.35,DIVERGENT,ALIGNED,False,True,True
2020-05-12,OFF,OFF,ON,15.69,15.05,1704.4,1654.12,2.36,2.34,ALIGNED,ALIGNED,False,True,False
2020-05-25,OFF,OFF,ON,17.66,15.08,1734.6,1668.17,2.41,2.31,ALIGNED,ALIGNED,False,True,False
2020-06-01,OFF,OFF,ON,18.77,15.62,1737.8,1690.58,2.47,2.32,ALIGNED,ALIGNED,False,True,False
2020-06-11,OFF,OFF,ON,17.87,16.24,1732.0,1707.65,2.59,2.38,ALIGNED,ALIGNED,False,True,False
2020-06-17,OFF,OFF,ON,17.76,16.48,1729.2,1715.53,2.59,2.41,ALIGNED,ALIGNED,False,True,False
2020-06-25,OFF,OFF,ON,17.88,16.74,1762.1,1720.17,2.66,2.45,ALIGNED,ALIGNED,False,True,False
