date,combined_status,industrial_status,monetary_status,silver_price,silver_ma50,gold_price,gold_ma50,copper_price,copper_ma50,monetary_regime_gt,industrial_regime_gt,combined_correct,monetary_correct,industrial_correct
2008-08-25,OFF,OFF,OFF,13.36,16.72,819.8,896.1,3.52,3.65,ALIGNED,ALIGNED,True,True,True
2008-09-01,OFF,OFF,ON,13.61,16.42,829.3,891.1,3.43,3.63,ALIGNED,ALIGNED,True,False,True
2008-09-11,OFF,OFF,OFF,10.49,15.59,741.3,871.51,3.13,3.53,ALIGNED,ALIGNED,True,True,True
2008-09-19,OFF,OFF,OFF,12.43,14.79,860.6,858.02,3.18,3.45,DIVERGENT,ALIGNED,True,False,True
2008-10-07,OFF,OFF,ON,11.32,13.42,878.4,839.67,2.54,3.25,DIVERGENT,ALIGNED,True,True,True
2008-10-15,OFF,OFF,OFF,10.14,12.66,835.5,834.3,2.22,3.09,DIVERGENT,ALIGNED,True,False,True
2008-10-31,OFF,OFF,OFF,9.73,11.51,716.8,816.23,1.84,2.74,ALIGNED,ALIGNED,True,True,True
2008-11-11,ON,OFF,ON,9.81,11.04,732.0,804.27,1.64,2.51,ALIGNED,ALIGNED,False,False,True
2008-11-24,OFF,OFF,OFF,10.35,10.64,819.4,798.47,1.67,2.23,DIVERGENT,ALIGNED,True,False,True
2008-12-04,OFF,OFF,OFF,9.49,10.27,763.8,788.0,1.45,2.01,ALIGNED,ALIGNED,True,True,True
2008-12-12,OFF,OFF,OFF,10.2,9.96,818.9,777.97,1.41,1.83,ALIGNED,DIVERGENT,False,False,True
2008-12-22,OFF,OFF,OFF,10.83,9.9,846.2,775.48,1.32,1.7,ALIGNED,DIVERGENT,False,False,True
2009-01-06,OFF,OFF,OFF,11.42,10.08,865.4,789.2,1.57,1.56,ALIGNED,ALIGNED,False,False,False
2009-01-16,ON,OFF,ON,11.19,10.29,839.3,804.11,1.51,1.5,ALIGNED,ALIGNED,True,True,False
2009-01-27,OFF,OFF,ON,12.17,10.49,899.2,821.4,1.47,1.47,ALIGNED,DIVERGENT,False,True,True
2009-02-10,OFF,OFF,ON,13.12,11.09,913.7,849.6,1.57,1.45,ALIGNED,ALIGNED,False,True,False
2009-02-17,OFF,OFF,ON,14.01,11.4,967.0,862.8,1.42,1.44,ALIGNED,DIVERGENT,False,True,True
2009-03-02,OFF,OFF,OFF,13.05,12.07,939.0,893.3,1.51,1.45,ALIGNED,ALIGNED,False,False,False
2009-03-16,OFF,OFF,ON,12.9,12.5,921.6,905.2,1.74,1.52,ALIGNED,ALIGNED,False,True,False
2009-03-25,ON,OFF,ON,13.42,12.78,935.4,916.38,1.8,1.57,ALIGNED,ALIGNED,True,True,False
